code,name,population
13111,東京都 大田区,"717,082"
13112,東京都 世田谷区,"903,346"
13113,東京都 渋谷区,"224,533"
13114,東京都 中野区,"328,215"
13115,東京都 杉並区,"563,997"
13116,東京都 豊島区,"291,167"
13117,東京都 北区,"341,076"
13118,東京都 荒川区,"212,264"
13119,東京都 板橋区,"561,916"
13120,東京都 練馬区,"721,722"
13121,東京都 足立区,"670,122"
13122,東京都 葛飾区,"442,913"
13123,東京都 江戸川区,"681,298"
13201,東京都 八王子市,"577,513"
13202,東京都 立川市,"176,295"
13203,東京都 武蔵野市,"144,730"
13204,東京都 三鷹市,"186,936"
13205,東京都 青梅市,"137,381"
13206,東京都 府中市,"260,274"
13207,東京都 昭島市,"111,539"
13208,東京都 調布市,"229,061"
13209,東京都 町田市,"432,348"
13210,東京都 小金井市,"121,396"
13211,東京都 小平市,"190,005"
13212,東京都 日野市,"186,283"
13213,東京都 東村山市,"149,956"
13214,東京都 国分寺市,"122,742"
13215,東京都 国立市,"73,655"
13218,東京都 福生市,"58,395"
13219,東京都 狛江市,"80,249"
13220,東京都 東大和市,"85,157"
13221,東京都 清瀬市,"74,864"
13222,東京都 東久留米市,"116,632"
